Aundh :,6,Bopodi Gaonthan
Aundh :,7,Pune University
 Aundh :,8,Aundh ITI
Aundh :,9,Baner Balewadi
Aundh :,10,Pashan Sutarwadi
Bhawani Peth :,39,KEM Hospital
Bhawani Peth :,47,Arunkumar Vaidya Stadium
Bhawani Peth :,48,Palkhi Vithoba Mandir
Bhawani Peth :,59,Kashewadi Gurunanaknagar
Bhawani Peth :,60,Mahatma Phule Peth Kashewadi Bhawani Peth
Bhawani Peth :,65,Ghorpade Garden
Bhawani Peth :,64,Salisbury Park
Bhawani Peth :,70,Bibvewadi and KK Market
Bhawani Peth :,71,"Shivaji Market, Gultekdi"
Bhawani Peth :,72,Upper Indiranagar
Dhankawadi :,69,Dhankawadi Padmavati
Dhankawadi :,73,Balajinagar Vaibhavnagar
Dhankawadi :,74,Bharati Vidyapeeth
Dhankawadi :,75,Katraj Dairy
Dhankawadi :,76,Katraj Maulinagar
Dhole Patil Road :,20,Magarpatta City
Dhole Patil Road :,21,Koregaon Park
Dhole Patil Road :,22,Naidu Hospital
Dhole Patil Road :,23,Junabazaar Kumbharwada
Dhole Patil Road :,40,Collectorate
Ghole Road :,11,Janwadi-Gokhalenagar
Ghole Road :,12,Model Colony
Ghole Road :,13,Narveer Tanajiwadi
Ghole Road :,24,Balgandharva
Ghole Road :,25,Wadarwadi-Pandavnagar
Ghole Road :,36,Kamla Nehru Park
Hadapsar :,42,"Lohiya Garden, Vaiduwadi"
Hadapsar :,43,Sadhana Vidyalay
Hadapsar :,44,Gliding Centre
Hadapsar :,45,Mohammadwadi
Kasba Vishrambagwada :,37,Shaniwarwada
Kasba Vishrambagwada :,38,Kasba Peth
Kasba Vishrambagwada :,49,Dr. Kotnis Hospital
Kasba Vishrambagwada :,50,Mahatma Phule Mandai
Kasba Vishrambagwada :,51,Tilak Smarak Mandir
Kasba Vishrambagwada :,58,Mahatma Phule Smarak
Kondhwa Wanavdi :,41,Sopan Baug - Vikasnagar
Kondhwa Wanavdi :,46,Wanavdi - Ramtekdi
Kondhwa Wanavdi :,61,Kedar Vasti - Azadnagar
Kondhwa Wanavdi :,62,"Kondhwa Budruk, Gokulnagar"
Kondhwa Wanavdi :,63,Bhagyodaynagar
Kothrud :,26,MIT - Kelewadi
Kothrud :,27,Sutardara-Kishkindha Naga
Kothrud :,28,ARDE - Mhatobanagar
Kothrud :,29,Bavdhan Khurd
Kothrud :,34,Gujrat Colony
Nagar Road :,2,Kharadi Infotech Park
Nagar Road :,3,Vimannagar Sanjay Park
Nagar Road :,4,Nagpur Chawl
Nagar Road :,17,Agakhan Palace
Nagar Road :,18,Vadgaon Sheri
Nagar Road :,19,Vadgaon Sheri - Ganesh Nagar
Sahakarnagar :,57,Kadakmal Ali Hirabaug
Sahakarnagar :,66,Adinath Society
Sahakarnagar :,67,Aranyeshwar Taware Colony
Sahakarnagar :,68,Sahakarnagar - Taljai
Tilak Road :,52,Vaikunth Smashanbhoomi
Tilak Road :,53,PL Deshpande Udyan
Tilak Road :,54,Suncity Wadgaon Budruk
Tilak Road :,55,Janata Vasahat
Tilak Road :,56,Sarasbaug Parvati
Warje Karvenagar :,30,Popularnagar Malwadi
Warje Karvenagar :,31,Shivane - Warje - Ramnagar
Warje Karvenagar :,32,Karvenagar - Gosavivasti
Warje Karvenagar :,33,Dahanukar Colony
Warje Karvenagar :,35,Deenanath Mangeshkar Hospital
Yerawda - Sangamwadi :,1,Lohegaon Airport
Yerawda - Sangamwadi :,5,Vishrantwadi Mhaske Vasti
Yerawda - Sangamwadi :,14,Deccan College
Yerawda - Sangamwadi :,15,Rajguru Road
Yerawda - Sangamwadi :,16,Subhashnagar
